prdtNum,name,desc,price,tamnao_category,shop_category,import_status,customs_note,line_note,thumbnail,url
"SV00004895","제주 보우짱 미니밤호박 중과 3kg 5kg 농가직송","제주 한림에서 농부가 직접 키워 중과 크기로 정성껏 선별한 미밤호박","21300","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00004895_2.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004895"
"SV00002713","제주 하우스 감귤 하우스귤 고당도 산지직송","3kg / 5kg","38400","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00002713_2.JPG","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00002713"
"SV00002362","청정 제주산 달큰한 단호박 국내산 산지직송","맛있는 제철 제주산 단호박","18600","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00002362_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00002362"
"SV00003377","[3차] 제주 애플망고 미니 (혼합크기)","제주 애플망고 [미니] 1kg","25000","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00003377_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00003377"
"SV00004122","제주 아열대 미니수박 5kg","","19500","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00004122_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004122"
"SV00002674","제주 하우스감귤 (로얄크기)","제주 하우스감귤 (로얄크기)","15000","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00002674_2.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00002674"
"SV00004078","제주 자연산 건고사리","","20000","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00004078_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004078"
"SV00002667","[3차] 제주 애플망고 2kg","과일의 여왕 제주 애플망고","82000","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00002667_2.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00002667"
"SV00002666","[3차] 제주 애플망고 3kg","과일의 여왕 제주 애플망고","103000","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00002666_2.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00002666"
"SV00002662","제주 미니밤단호박","청정 제주 미니 밤단호박","12900","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00002662_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00002662"
"SV00001124","차롱 고사리(특선급) 80g x 3","제주 직송 무료배송","80000","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00001124_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001124"
"SV00001087","촐왓 고사리(믿음직한 품질) 160g","제주직송 무료배송","41000","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00001087_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001087"
"SV00002389","<현가원> 애플망고 2kg/3kg 특품(선물용/가정용)","&#034;으뜸감귤&#034;의 본고장 생태관광마을 하례마을에서 수확한 맛있는 애플망고입니다.","90000","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00002389_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00002389"
"SV00001209","<현가원>하례마을 하우스감귤 2KG/3KG/5KG","생태관광마을 하례마을에서 수확한 맛있는 하우스감귤입니다.","22000","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001209_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001209"
"SV00004461","<현가원>한라봉7KG/10kg(가정용)","&#034;으뜸감귤&#034;의 본고장 생태관광마을 하례마을에서 수확한 맛있는 한라봉입니다.","49000","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00004461_3.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004461"
"SV00003373","<현가원> 미니밤단호박 3kg/5kg/7kg(특품)","파근파근, 포슬포슬한 제주도 보우짱품종 미니밤단호박입니다.","15000","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00003373_2.jpeg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00003373"
"SV00004060","서귀포산림조합 제주 한라산 건고사리 100g/200g","청정제주 한라산에서 자란 고사리!","17000","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00004060_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004060"
"SV00003985","제주산 명품 프리미엄 애플망고 특상품 2kg 3kg","서귀포시 공식 쇼핑몰","85000","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00003985_6.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00003985"
"SV00003520","100%제주산 건표고버섯 선물세트 360g","청정제주 한라산에서 자란 표고버섯!","38900","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00003520_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00003520"
"SV00004080","제주 고당도 하우스감귤 1.5kg 중대과/로얄과 외","11브릭스 이상 ! 당도선별 프리미엄 감귤","13500","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00004080_5.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004080"
"SV00003383","제주 미니 단호박 보우짱 특품 2kg(3-7개) 외","2026년 첫 출하 !","9900","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00003383_4.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00003383"
"SV00003982","[한정특가] 성주 꿀 참외 못난이 5kg 10kg","[한정특가] 성주 꿀 참외 못난이 5kg 10kg","13500","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00003982_3.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00003982"
"SV00003467","[제주] 아삭아삭 콜라비 2kg 3kg 5kg 10kg","[제주] 아삭아삭 콜라비 2kg 3kg 5kg 10kg","9900","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00003467_2.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00003467"
"SV00002660","[제주도] 단호박 보우짱 밤호박 2,3,5,10kg","[제주도] 단호박 보우짱 밤호박 2,3,5,10kg","10500","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00002660_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00002660"
"SV00003014","제주 고사리 국내산 제주도 건고사리 100g","제주 고사리 국내산 제주도 건고사리 100g","23500","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00003014_10.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00003014"
"SV00003292","[로드제주] 제주 프리미엄 자연산 햇 건고사리 말린고리","이벤트 상품 증정!! 제주 간식 세트 놓치지 마세요!!","16900","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00003292_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00003292"
"SV00002075","제주오라 메밀쌀","100% 제주산 &#034;제주오라 메밀쌀&#034;","12000","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00002075_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00002075"
"SV00002077","제주오라 영양보리쌀","제주산 100% &#034;제주오라 영양보리쌀&#034;","5000","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00002077_1.png","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00002077"
"SV00002078","제주오라 귀리쌀","제주산 100% &#034;제주오라 귀리쌀&#034;","8000","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00002078_1.png","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00002078"
"SV00003348","제주달 무농약 상황버섯 청정제주 상황버섯","제주상황버섯농장에서 정성스레 키은 제주에서 자란 건강한 상황버섯","150000","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00003348_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00003348"
"SV00000756","[농업기술명인] 제주 고사리 건채","3월12일자 품절 5월1일출하됩니다","45000","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00000756_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00000756"
"SV00003344","제주애플망고 가정용/특상품 2kg, 3kg","직접재배한 애플망고, 매일매일 수확해서 배송합니다.","60000","농산품","food","restricted","생과일·채소 — 다수 국가에서 검역·반입이 제한돼요.","당일 선내 취식용만 허용됩니다.","https://www.tamnao.com/data/sv/thumb/SV00003344_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00003344"
"SV00001847","제주산 3종 잡곡","","9750","농산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00001847_2.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001847"
"SV00004346","[성창수산]제주 프리미엄 옥돔(마리당 280g 이상)","제주 청정 해역에서 잡은 프리미엄 옥돔, 국산 천일염으로 밑간해 두툼한 살결과 고소한 감칠맛!","75000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00004346_3.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004346"
"SV00004324","[성창수산]제주 프리미엄 참조기","국내산 천일염으로 정성껏 밑간해 감칠맛과 신선함이 살아있는 최고급 수산물","120000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00004324_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004324"
"SV00004327","[성창수산]제주 프리미엄 옥돔(마리당 230g 이상)","제주 청정 해역에서 잡은 프리미엄 옥돔, 국산 천일염으로 밑간해 두툼한 살결과 고소한 감칠맛!","50000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00004327_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004327"
"SV00004325","[성창수산]제주 프리미엄 은갈치","제주 생물 갈치를 내장 제거 후 급냉시켜 담백하면서도 부드러운 식감이 일품인 프리미엄 갈치","50000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00004325_2.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00004325"
"SV00001103","차롱 참굴비(명작급) 왕특대 10마리 선물세트","제주직송 무료배송","200000","수산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00001103_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001103"
"SV00001104","차롱 참굴비(장인급) VIP 10마리 선물세트","제주직송 무료배송","408000","수산품","food","allowed","포장·가공 식품 — 반입 제한이 없어요.","선사 반입 제한이 없습니다.","https://www.tamnao.com/data/sv/thumb/SV00001104_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001104"
"SV00001106","차롱 고등어(특선급) 특대 15팩 선물세트","제주 직송 무료배송","100000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001106_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001106"
"SV00001107","차롱 고등어(감동형) 특대 15팩 선물세트","무료배송","115000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001107_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001107"
"SV00001110","차롱 참옥돔(특선급) 중 3kg 선물세트","제주 직송 무료배송","212000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001110_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001110"
"SV00001111","차롱 참옥돔(특선급) 대 3kg 선물세트","제주 직송 무료배송","249000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001111_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001111"
"SV00001112","차롱 참옥돔(명작급) 특대 3kg 선물세트","제주 직송 무료배송","299000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001112_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001112"
"SV00001117","차롱 참조기(명작급) 대 4kg 선물세트","제주 직송 무료배송","234000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001117_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001117"
"SV00001118","차롱 참조기(명작급) 특대 4kg 선물세트","제주 직송 무료배송","396000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001118_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001118"
"SV00001119","차롱 참조기(장인급) 왕특대 3kg 선물세트","제주 직송 무료배송","373000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001119_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001119"
"SV00001120","차롱 참조기(장인급) VIP 3Kg 선물세트","제주 직송 무료배송","624000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001120_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001120"
"SV00001121","차롱 참조기(장인급) VVIP 3kg 선물세트","제주 직송 무료배송","725000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001121_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001121"
"SV00001101","차롱 참조기(특선급) 대 24마리 선물세트","제주 직송 무료배송","143000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001101_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001101"
"SV00001098","차롱 참옥돔(특선급) 대 9마리 선물세트","제주 직송 무료배송","196000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001098_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001098"
"SV00001097","차롱 참옥돔(특선급) 중 9마리 선물세트","제주 직송 무료배송","142000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001097_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001097"
"SV00001096","차롱 은갈치(명작급) 왕특대 6마리 선물세트","제주 직송 무료배송","362000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001096_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001096"
"SV00001095","차롱 은갈치(특선급) 특대 9마리 선물세트","제주 직송 무료배송","298000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001095_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001095"
"SV00001094","차롱 은갈치(특선급) 대 9마리 선물세트","제주 직송 무료배송","217000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001094_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001094"
"SV00001093","은갈치(진미형) 59.9 혼합 선물세트","제주직송 무료배송","59900","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001093_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001093"
"SV00001092","은갈치(고품격) 4종 혼합 선물세트","제주직송 무료배송","129000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001092_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001092"
"SV00001091","은갈치(차별형) 79.9 혼합 선물세트","제주직송 무료배송","79900","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001091_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001091"
"SV00001090","은갈치(만족형) 49.9 혼합 선물세트","제주직송 무료배송","49900","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001090_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001090"
"SV00001089","고등어(실속형) 39.9 선물세트","제주직송 무료배송","39900","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001089_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001089"
"SV00001084","청정해 양식전복(제주직송) 3~5년산","제주 직송 무료배송","61000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001084_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001084"
"SV00001083","딱새우살(섬세한 풍미)","제주직송 무료배송","42000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001083_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001083"
"SV00001082","돌문어(고급 풍미)","제주직송 무료배송","64000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001082_1.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001082"
"SV00001080","성게알(진귀한 맛) 200g","제주직송 무료배송","58000","수산품","food","restricted","신선 수산물 — 다수 국가에서 검역 대상이에요.","선내 냉장 보관이 제한됩니다.","https://www.tamnao.com/data/sv/thumb/SV00001080_2.jpg","https://www.tamnao.com/web/sv/detailPrdt.do?prdtNum=SV00001080"
